,date,USD/INR exchange rate,Federal funds rate,Ethanol Futures CLOSE,CBOE Volatility Index (VIX) CLOSE,India Inflation data Core CPI,USD / Brazilian Real Rate,ICEUS Sugar #11 CLOSE
0,2020-10-20,73.38,0.09,1.469,29.35,5.5,5.61,14.54
1,2020-06-19,76.23,0.09,1.23,35.12,4.0,5.38,12.05
2,2021-03-19,72.44,0.07,1.7990000000000002,20.95,5.03,5.49,15.76
3,2020-02-21,71.89,1.55,1.337,17.08,7.35,4.39,15.59
4,2020-06-29,75.54,0.08,1.155,31.78,4.0,5.4,11.71
5,2020-11-20,74.16,0.09,1.39,23.7,5.5,5.38,15.21
6,2021-04-15,74.8,0.07,2.01,16.99,5.52,5.62,16.38
7,2020-03-04,73.48,1.59,1.284,31.99,4.2,4.58,13.47
8,2020-07-09,75.23,0.09,1.395,29.26,4.0,5.34,11.84
9,2021-04-30,74.1,0.07,2.33,17.61,5.52,5.44,17.44
10,2020-03-18,75.13,0.25,0.972,76.45,3.9,5.11,10.67
11,2020-07-23,74.96,0.1,1.17,26.08,5.5,5.21,11.77
12,2020-12-18,73.56,0.09,1.45,21.57,6.93,5.1,14.44
13,2021-05-14,73.28,0.06,2.34,23.13,5.52,5.27,16.96
14,2020-07-21,74.56,0.09,1.107,24.84,5.5,5.17,11.67
15,2020-04-09,75.93,1.55,0.938,41.67,7.35,5.11,10.43
16,2020-08-13,74.86,0.1,1.23,22.13,5.5,5.37,13.11
17,2021-01-14,73.1,0.09,1.7380000000000002,23.25,6.93,5.2,16.67
18,2020-04-21,76.79,0.05,0.951,45.41,4.0,5.32,9.75
19,2020-08-26,74.29,0.09,1.285,23.27,5.5,5.61,12.58
20,2021-01-28,72.99,0.08,1.6580000000000001,30.21,4.59,5.44,15.59
21,2020-04-28,75.83,0.05,0.9390000000000001,33.57,4.0,5.5,9.34
22,2020-09-04,73.25,0.09,1.306,30.75,5.5,5.3,11.93
23,2021-02-09,72.85,0.08,1.749,21.63,4.59,5.38,16.44
24,2020-05-05,75.75,0.05,1.06,33.61,4.0,5.58,10.78
25,2020-09-18,73.61,0.09,1.355,25.83,5.5,5.39,12.77
26,2020-05-13,75.48,0.05,1.1079999999999999,35.28,4.0,5.89,10.26
27,2020-10-14,73.28,0.09,1.43,26.4,5.5,5.59,14.2
28,2020-05-22,75.86,0.05,1.069,28.16,4.0,5.55,10.93
29,2020-10-08,73.14,0.09,1.395,26.36,5.5,5.6,14.17
30,2021-03-25,72.6,0.07,1.8,19.81,5.03,5.65,15.09
31,2020-05-28,75.77,0.05,1.114,28.59,4.0,5.27,10.8
32,2020-10-28,73.99,0.09,1.413,40.28,5.5,5.75,14.89
33,2021-04-07,74.52,0.07,1.851,17.16,5.03,5.61,15.14
34,2020-06-05,75.4,0.06,1.185,24.52,4.0,5.12,12.02
35,2020-11-12,74.66,0.09,1.45,25.35,5.5,5.46,14.92
36,2021-04-22,75.11,0.07,2.199,17.5,5.52,5.44,16.92
37,2020-11-24,73.98,0.08,1.41,21.64,7.61,5.37,15.04
38,2021-05-05,73.83,0.06,2.34,18.31,5.52,5.35,17.53
39,2020-06-25,75.64,0.09,1.274,32.22,4.0,5.35,11.81
40,2020-12-08,73.62,0.09,1.375,20.68,7.61,5.12,14.39
41,2021-05-19,73.2,0.06,2.35,21.34,4.29,5.31,16.95
42,2020-07-02,75.5,0.08,1.25,27.68,4.0,5.32,12.24
43,2020-02-12,71.46,1.55,1.345,13.74,7.35,4.36,15.78
44,2020-07-14,75.28,0.09,1.2329999999999999,29.52,5.5,5.37,11.32
45,2020-12-31,73.08,0.09,1.5230000000000001,22.75,6.93,5.19,15.49
46,2020-03-03,73.64,1.58,1.291,36.82,4.2,4.52,13.76
47,2020-08-05,74.88,0.1,1.105,22.99,5.5,5.29,12.54
48,2021-01-26,72.89,0.08,1.6580000000000001,23.02,4.59,5.36,15.74
49,2020-03-17,74.06,1.55,1.028,75.91,7.35,5.01,10.89
50,2021-01-27,73.14,0.08,1.6580000000000001,37.21,4.59,5.41,15.8
51,2020-03-27,74.51,1.55,0.995,65.54,7.35,5.02,11.1
52,2020-08-28,73.13,0.09,1.2890000000000001,22.96,5.5,5.39,12.6
53,2021-02-19,72.55,0.08,1.729,22.05,4.06,5.38,17.79
54,2020-04-07,75.88,0.05,0.866,46.7,3.9,5.22,10.38
55,2021-03-05,73.18,0.07,1.76,28.57,4.06,5.69,16.4
56,2020-04-20,76.5,0.05,0.993,43.83,4.0,5.23,10.06
57,2020-09-22,73.57,0.09,1.325,26.86,5.5,5.47,12.89
58,2021-03-18,72.67,0.07,1.7990000000000002,19.23,5.03,5.56,15.89
59,2020-10-13,73.36,0.09,1.415,26.07,5.5,5.57,14.01
60,2021-04-01,73.29,0.07,1.91,19.4,5.03,5.71,14.71
61,2020-10-07,73.5,0.09,1.376,28.06,5.5,5.59,14.14
62,2021-04-16,74.54,0.07,2.01,16.57,5.52,5.59,16.72
63,2020-05-11,75.54,0.05,1.103,27.57,4.0,5.73,10.12
64,2020-10-27,73.7,0.09,1.493,33.35,5.5,5.71,14.83
65,2020-05-19,75.7,0.05,1.0859999999999999,30.53,4.0,5.72,10.85
66,2020-11-11,74.38,0.09,1.42,23.45,5.5,5.39,14.49
67,2021-05-13,73.48,0.06,2.34,27.59,5.52,5.31,17.11
68,2020-05-26,75.58,0.05,1.129,28.01,4.0,5.35,11.05
69,2020-06-01,75.52,0.05,1.138,28.23,4.0,5.33,11.0
70,2020-12-03,73.81,0.09,1.32,21.28,7.61,5.15,14.71
71,2020-06-11,75.98,0.07,1.1520000000000001,40.79,4.0,4.98,11.94
72,2020-12-04,73.8,0.09,1.32,20.79,7.61,5.16,14.44
73,2020-06-23,76.23,0.09,1.23,31.37,4.0,5.38,11.79
74,2021-01-05,73.16,0.09,1.5659999999999998,25.34,6.93,5.29,16.12
75,2020-07-01,75.5,0.08,1.25,28.62,4.0,5.32,12.17
76,2021-01-15,73.16,0.09,1.699,24.34,4.59,5.29,16.45
77,2020-07-28,74.85,0.09,1.2,25.44,5.5,5.15,12.01
78,2021-02-12,72.59,0.08,1.729,19.97,4.59,5.37,16.38
79,2020-01-31,71.5,1.55,1.35,18.84,7.0,4.28,14.61
80,2020-08-06,74.89,0.1,1.105,22.65,5.5,5.29,12.94
81,2021-02-25,73.06,0.07,1.729,28.89,4.06,5.53,17.84
82,2020-02-11,71.23,1.55,1.34,15.18,7.35,4.33,15.41
83,2020-08-18,74.66,0.1,1.29,21.51,5.5,5.47,12.89
84,2021-03-10,72.76,0.07,1.801,22.56,4.06,5.67,15.96
85,2020-02-19,71.63,1.58,1.358,14.38,4.2,4.37,15.58
86,2021-03-24,72.62,0.07,1.8,21.2,5.03,5.62,15.63
87,2020-09-11,73.48,0.09,1.306,26.87,5.5,5.32,11.92
88,2021-04-06,73.48,0.07,1.91,18.12,5.03,5.6,15.16
89,2020-03-19,74.94,0.25,1.042,72.0,3.9,5.1,10.59
90,2020-09-24,73.75,0.09,1.31,28.51,5.5,5.51,12.84
91,2021-04-23,75.22,0.07,2.199,18.71,5.52,5.48,16.91
92,2020-03-31,75.52,1.55,0.9209999999999999,53.54,7.35,5.21,10.42
93,2021-05-06,73.59,0.06,2.34,19.15,5.52,5.28,17.55
94,2020-04-15,76.85,0.05,0.97,40.84,4.0,5.24,10.16
95,2020-10-16,73.44,0.09,1.44,27.41,5.5,5.65,14.43
96,2021-05-20,73.03,0.06,2.35,22.18,4.29,5.28,17.04
97,2020-04-22,76.07,0.05,0.941,41.98,4.0,5.46,9.83
