datapoint_name,date,low,high,close,open
ICEUS Sugar #11 LOW,2017-01-03T00:00:00.000Z,19.58,20.55,20.51,19.63
ICEUS Sugar #11 LOW,2017-01-04T00:00:00.000Z,20.41,20.94,20.89,20.55
ICEUS Sugar #11 LOW,2017-01-05T00:00:00.000Z,20.66,21.18,20.78,20.89
ICEUS Sugar #11 LOW,2017-01-06T00:00:00.000Z,20.3,20.84,20.75,20.66
ICEUS Sugar #11 LOW,2017-01-09T00:00:00.000Z,20.36,20.75,20.42,20.74
ICEUS Sugar #11 LOW,2017-01-10T00:00:00.000Z,20.15,20.56,20.48,20.5
ICEUS Sugar #11 LOW,2017-01-11T00:00:00.000Z,20.48,20.89,20.56,20.55
ICEUS Sugar #11 LOW,2017-01-12T00:00:00.000Z,20.58,20.88,20.76,20.6
ICEUS Sugar #11 LOW,2017-01-13T00:00:00.000Z,20.48,20.93,20.52,20.85
ICEUS Sugar #11 LOW,2017-01-17T00:00:00.000Z,20.52,20.83,20.73,20.57
ICEUS Sugar #11 LOW,2017-01-18T00:00:00.000Z,20.55,21,20.98,20.75
ICEUS Sugar #11 LOW,2017-01-19T00:00:00.000Z,20.05,21.38,20.18,21
ICEUS Sugar #11 LOW,2017-01-20T00:00:00.000Z,20.05,20.54,20.18,20.1
ICEUS Sugar #11 LOW,2017-01-23T00:00:00.000Z,20.24,20.72,20.64,20.35
ICEUS Sugar #11 LOW,2017-01-24T00:00:00.000Z,20.54,20.99,20.58,20.64
ICEUS Sugar #11 LOW,2017-01-25T00:00:00.000Z,20.26,20.74,20.34,20.53
ICEUS Sugar #11 LOW,2017-01-26T00:00:00.000Z,20.26,20.65,20.36,20.4
ICEUS Sugar #11 LOW,2017-01-27T00:00:00.000Z,20.3,20.53,20.33,20.38
ICEUS Sugar #11 LOW,2017-01-30T00:00:00.000Z,20.13,20.47,20.31,20.41
ICEUS Sugar #11 LOW,2017-01-31T00:00:00.000Z,20.25,20.53,20.45,20.37
ICEUS Sugar #11 LOW,2017-02-01T00:00:00.000Z,20.45,20.88,20.84,20.5
ICEUS Sugar #11 LOW,2017-02-02T00:00:00.000Z,20.35,21.2,20.55,20.87
ICEUS Sugar #11 LOW,2017-02-03T00:00:00.000Z,20.38,21.4,21.11,20.44
ICEUS Sugar #11 LOW,2017-02-06T00:00:00.000Z,21.04,21.49,21.18,21.28
ICEUS Sugar #11 LOW,2017-02-07T00:00:00.000Z,20.67,21.32,20.72,21.2
ICEUS Sugar #11 LOW,2017-02-08T00:00:00.000Z,20.61,20.94,20.76,20.74
ICEUS Sugar #11 LOW,2017-02-09T00:00:00.000Z,20.62,21.03,20.65,20.74
ICEUS Sugar #11 LOW,2017-02-10T00:00:00.000Z,20.31,20.74,20.42,20.66
ICEUS Sugar #11 LOW,2017-02-13T00:00:00.000Z,19.91,20.61,20,20.5
ICEUS Sugar #11 LOW,2017-02-14T00:00:00.000Z,20.04,20.52,20.47,20.04
ICEUS Sugar #11 LOW,2017-02-15T00:00:00.000Z,20.42,20.84,20.48,20.5
ICEUS Sugar #11 LOW,2017-02-16T00:00:00.000Z,20.05,20.55,20.36,20.55
ICEUS Sugar #11 LOW,2017-02-17T00:00:00.000Z,20.16,20.42,20.3,20.39
ICEUS Sugar #11 LOW,2017-02-21T00:00:00.000Z,20.35,20.88,20.8,20.42
ICEUS Sugar #11 LOW,2017-02-22T00:00:00.000Z,20.64,21,20.71,20.85
ICEUS Sugar #11 LOW,2017-02-23T00:00:00.000Z,20.12,20.74,20.16,20.72
ICEUS Sugar #11 LOW,2017-02-24T00:00:00.000Z,19.76,20.24,19.8,20.15
ICEUS Sugar #11 LOW,2017-02-27T00:00:00.000Z,19.05,19.82,19.09,19.76
ICEUS Sugar #11 LOW,2017-02-28T00:00:00.000Z,19.05,19.47,19.31,19.11
ICEUS Sugar #11 LOW,2017-03-01T00:00:00.000Z,19.1,19.53,19.48,19.31
ICEUS Sugar #11 LOW,2017-03-02T00:00:00.000Z,19.35,19.69,19.66,19.52
ICEUS Sugar #11 LOW,2017-03-03T00:00:00.000Z,19.42,19.77,19.52,19.51
ICEUS Sugar #11 LOW,2017-03-06T00:00:00.000Z,19.12,19.84,19.15,19.63
ICEUS Sugar #11 LOW,2017-03-07T00:00:00.000Z,18.36,19.15,18.4,19.15
ICEUS Sugar #11 LOW,2017-03-08T00:00:00.000Z,18.14,18.56,18.4,18.41
ICEUS Sugar #11 LOW,2017-03-09T00:00:00.000Z,17.98,18.73,18,18.5
ICEUS Sugar #11 LOW,2017-03-10T00:00:00.000Z,17.96,18.34,18.22,18.09
ICEUS Sugar #11 LOW,2017-03-13T00:00:00.000Z,18.05,18.39,18.18,18.32
ICEUS Sugar #11 LOW,2017-03-14T00:00:00.000Z,18.1,18.33,18.16,18.29
ICEUS Sugar #11 LOW,2017-03-15T00:00:00.000Z,18.13,18.29,18.23,18.2
ICEUS Sugar #11 LOW,2017-03-16T00:00:00.000Z,18.18,18.53,18.25,18.33
ICEUS Sugar #11 LOW,2017-03-17T00:00:00.000Z,17.5,18.38,18.17,18.3
ICEUS Sugar #11 LOW,2017-03-20T00:00:00.000Z,17.65,18.36,17.7,18.27
ICEUS Sugar #11 LOW,2017-03-21T00:00:00.000Z,17.05,17.7,17.29,17.7
ICEUS Sugar #11 LOW,2017-03-22T00:00:00.000Z,17.02,17.44,17.3,17.27
ICEUS Sugar #11 LOW,2017-03-23T00:00:00.000Z,17.15,17.65,17.6,17.31
ICEUS Sugar #11 LOW,2017-03-24T00:00:00.000Z,17.54,17.97,17.71,17.67
ICEUS Sugar #11 LOW,2017-03-27T00:00:00.000Z,17.45,17.9,17.7,17.65
ICEUS Sugar #11 LOW,2017-03-28T00:00:00.000Z,17.48,18.17,17.56,17.72
ICEUS Sugar #11 LOW,2017-03-29T00:00:00.000Z,17,17.59,17.12,17.58
ICEUS Sugar #11 LOW,2017-03-30T00:00:00.000Z,16.58,17.06,16.81,17
ICEUS Sugar #11 LOW,2017-03-31T00:00:00.000Z,16.69,16.99,16.76,16.81
ICEUS Sugar #11 LOW,2017-04-03T00:00:00.000Z,16.47,17.18,16.54,16.93
ICEUS Sugar #11 LOW,2017-04-04T00:00:00.000Z,16.12,16.57,16.16,16.49
ICEUS Sugar #11 LOW,2017-04-05T00:00:00.000Z,16.05,16.95,16.1,16.63
ICEUS Sugar #11 LOW,2017-04-06T00:00:00.000Z,16.08,16.54,16.45,16.1
ICEUS Sugar #11 LOW,2017-04-07T00:00:00.000Z,16.48,16.84,16.77,16.58
ICEUS Sugar #11 LOW,2017-04-10T00:00:00.000Z,16.56,16.94,16.63,16.8
ICEUS Sugar #11 LOW,2017-04-11T00:00:00.000Z,16.21,16.85,16.72,16.6
ICEUS Sugar #11 LOW,2017-04-12T00:00:00.000Z,16.57,16.93,16.7,16.81
ICEUS Sugar #11 LOW,2017-04-13T00:00:00.000Z,16.56,17.16,16.6,16.75
ICEUS Sugar #11 LOW,2017-04-17T00:00:00.000Z,16.42,16.93,16.47,16.7
ICEUS Sugar #11 LOW,2017-04-18T00:00:00.000Z,16.17,16.89,16.7,16.52
ICEUS Sugar #11 LOW,2017-04-19T00:00:00.000Z,16.36,16.9,16.42,16.85
ICEUS Sugar #11 LOW,2017-04-20T00:00:00.000Z,16.31,16.7,16.33,16.43
ICEUS Sugar #11 LOW,2017-04-21T00:00:00.000Z,16.26,16.6,16.41,16.38
ICEUS Sugar #11 LOW,2017-04-24T00:00:00.000Z,16.08,16.58,16.24,16.49
ICEUS Sugar #11 LOW,2017-04-25T00:00:00.000Z,16.13,16.4,16.18,16.24
