date,value
2015-08-27T00:00:00.000Z,50.05
2015-08-28T00:00:00.000Z,50.05
2015-08-31T00:00:00.000Z,49.56
2015-09-01T00:00:00.000Z,50.5
2015-09-02T00:00:00.000Z,50.68
2015-09-03T00:00:00.000Z,49.61
2015-09-04T00:00:00.000Z,49.61
2015-09-07T00:00:00.000Z,49.52
2015-09-08T00:00:00.000Z,47.58
2015-09-09T00:00:00.000Z,48.89
2015-09-10T00:00:00.000Z,48.14
2015-09-11T00:00:00.000Z,48.14
2015-09-14T00:00:00.000Z,46.63
2015-09-15T00:00:00.000Z,49.75
2015-09-16T00:00:00.000Z,49.08
2015-09-17T00:00:00.000Z,47.47
2015-09-18T00:00:00.000Z,47.47
2015-09-21T00:00:00.000Z,49.08
2015-09-22T00:00:00.000Z,47.75
2015-09-23T00:00:00.000Z,48.17
2015-09-24T00:00:00.000Z,48.6
2015-09-25T00:00:00.000Z,48.6
2015-09-28T00:00:00.000Z,48.23
2015-09-29T00:00:00.000Z,48.37
2015-09-30T00:00:00.000Z,47.69
2015-10-01T00:00:00.000Z,47.69
2015-10-02T00:00:00.000Z,47.69
2015-10-05T00:00:00.000Z,51.92
2015-10-06T00:00:00.000Z,51.33
2015-10-07T00:00:00.000Z,53.05
2015-10-08T00:00:00.000Z,52.65
2015-10-09T00:00:00.000Z,52.65
2015-10-12T00:00:00.000Z,49.24
2015-10-13T00:00:00.000Z,49.15
2015-10-14T00:00:00.000Z,48.71
2015-10-15T00:00:00.000Z,50.46
2015-10-16T00:00:00.000Z,50.46
2015-10-19T00:00:00.000Z,48.71
2015-10-20T00:00:00.000Z,47.85
2015-10-21T00:00:00.000Z,48.08
2015-10-22T00:00:00.000Z,47.99
2015-10-23T00:00:00.000Z,47.99
2015-10-26T00:00:00.000Z,46.81
2015-10-27T00:00:00.000Z,49.05
2015-10-28T00:00:00.000Z,48.8
2015-10-29T00:00:00.000Z,49.56
2015-10-30T00:00:00.000Z,49.56
2015-11-02T00:00:00.000Z,50.54
2015-11-03T00:00:00.000Z,48.58
