date,value
2015-01-02T00:00:00.000Z,58.54
2015-01-05T00:00:00.000Z,56.3
2015-01-06T00:00:00.000Z,53.6
2015-01-07T00:00:00.000Z,51.84
2015-01-08T00:00:00.000Z,51.91
2015-01-09T00:00:00.000Z,51.44
2015-01-12T00:00:00.000Z,49.98
2015-01-13T00:00:00.000Z,47.29
2015-01-14T00:00:00.000Z,49.21
2015-01-15T00:00:00.000Z,50.62
2015-01-16T00:00:00.000Z,50.41
2015-01-19T00:00:00.000Z,50.35
2015-01-20T00:00:00.000Z,49.48
2015-01-21T00:00:00.000Z,49.59
2015-01-22T00:00:00.000Z,50.45
2015-01-23T00:00:00.000Z,49.8
2015-01-26T00:00:00.000Z,49.29
2015-01-27T00:00:00.000Z,49.99
2015-01-28T00:00:00.000Z,49.72
2015-01-29T00:00:00.000Z,49.25
2015-01-30T00:00:00.000Z,53.08
2015-02-02T00:00:00.000Z,55.62
2015-02-03T00:00:00.000Z,59
2015-02-04T00:00:00.000Z,58.06
2015-02-05T00:00:00.000Z,57.87
2015-02-06T00:00:00.000Z,59.06
2015-02-09T00:00:00.000Z,59.61
2015-02-10T00:00:00.000Z,58.57
2015-02-11T00:00:00.000Z,57
2015-02-12T00:00:00.000Z,57.5
2015-02-13T00:00:00.000Z,61.77
2015-02-16T00:00:00.000Z,62.57
2015-02-17T00:00:00.000Z,63
2015-02-18T00:00:00.000Z,62.46
2015-02-19T00:00:00.000Z,60.99
2015-02-20T00:00:00.000Z,61.15
2015-02-23T00:00:00.000Z,60.67
2015-02-24T00:00:00.000Z,60.3
2015-02-25T00:00:00.000Z,62.2
2015-02-26T00:00:00.000Z,62.63
2015-02-27T00:00:00.000Z,62.83
2015-03-02T00:00:00.000Z,62.5
2015-03-03T00:00:00.000Z,61.81
2015-03-04T00:00:00.000Z,60.94
2015-03-05T00:00:00.000Z,61.57
2015-03-06T00:00:00.000Z,61.3
2015-03-09T00:00:00.000Z,60.02
2015-03-10T00:00:00.000Z,58.72
2015-03-11T00:00:00.000Z,57.95
2015-03-12T00:00:00.000Z,58.81
2015-03-13T00:00:00.000Z,57.4
2015-03-16T00:00:00.000Z,54.64
2015-03-17T00:00:00.000Z,54.38
2015-03-18T00:00:00.000Z,56.84
2015-03-19T00:00:00.000Z,56.2
2015-03-20T00:00:00.000Z,55.67
2015-03-23T00:00:00.000Z,56.19
2015-03-24T00:00:00.000Z,56.79
2015-03-25T00:00:00.000Z,57.17
2015-03-26T00:00:00.000Z,59.78
2015-03-27T00:00:00.000Z,59.04
2015-03-30T00:00:00.000Z,56.65
2015-03-31T00:00:00.000Z,56.33
2015-04-01T00:00:00.000Z,57.69
2015-04-02T00:00:00.000Z,57.28
2015-04-06T00:00:00.000Z,58.24
2015-04-07T00:00:00.000Z,59.27
2015-04-08T00:00:00.000Z,58.72
2015-04-09T00:00:00.000Z,58.02
2015-04-10T00:00:00.000Z,58.12
2015-04-13T00:00:00.000Z,59.54
2015-04-14T00:00:00.000Z,59.24
2015-04-15T00:00:00.000Z,60.45
2015-04-16T00:00:00.000Z,64.95
2015-04-17T00:00:00.000Z,64.5
2015-04-20T00:00:00.000Z,64.4
2015-04-21T00:00:00.000Z,63.52
2015-04-22T00:00:00.000Z,63.33
2015-04-23T00:00:00.000Z,65.58
2015-04-24T00:00:00.000Z,65.8
2015-04-27T00:00:00.000Z,65.61
2015-04-28T00:00:00.000Z,65.49
2015-04-29T00:00:00.000Z,66.72
2015-04-30T00:00:00.000Z,66.93
2015-05-01T00:00:00.000Z,66.93
2015-05-04T00:00:00.000Z,67.1
2015-05-05T00:00:00.000Z,68.4
2015-05-06T00:00:00.000Z,69.63
2015-05-07T00:00:00.000Z,68.49
2015-05-08T00:00:00.000Z,66.12
2015-05-11T00:00:00.000Z,65.75
2015-05-12T00:00:00.000Z,67.46
2015-05-13T00:00:00.000Z,68.17
2015-05-14T00:00:00.000Z,67.29
2015-05-15T00:00:00.000Z,67
2015-05-18T00:00:00.000Z,67.88
2015-05-19T00:00:00.000Z,66.39
2015-05-20T00:00:00.000Z,65.18
2015-05-21T00:00:00.000Z,66.88
2015-05-22T00:00:00.000Z,66.64
2015-05-25T00:00:00.000Z,66.22
2015-05-26T00:00:00.000Z,65.7
2015-05-27T00:00:00.000Z,64.67
2015-05-28T00:00:00.000Z,62.95
2015-05-29T00:00:00.000Z,65.83
2015-06-01T00:00:00.000Z,65.8
2015-06-02T00:00:00.000Z,65.88
2015-06-03T00:00:00.000Z,65.4
2015-06-04T00:00:00.000Z,64.08
2015-06-05T00:00:00.000Z,63.43
2015-06-08T00:00:00.000Z,63.38
2015-06-09T00:00:00.000Z,65.23
2015-06-10T00:00:00.000Z,66.36
2015-06-11T00:00:00.000Z,66.06
2015-06-12T00:00:00.000Z,64.95
2015-06-15T00:00:00.000Z,63.96
2015-06-16T00:00:00.000Z,64.41
2015-06-17T00:00:00.000Z,65.47
2015-06-18T00:00:00.000Z,64.96
2015-06-19T00:00:00.000Z,64.56
2015-06-22T00:00:00.000Z,63.74
2015-06-23T00:00:00.000Z,64.89
2015-06-24T00:00:00.000Z,65.05
2015-06-25T00:00:00.000Z,63.95
2015-06-26T00:00:00.000Z,63.62
2015-06-29T00:00:00.000Z,62.96
2015-06-30T00:00:00.000Z,63.83
2015-07-01T00:00:00.000Z,63.35
2015-07-02T00:00:00.000Z,63.2
2015-07-03T00:00:00.000Z,62.06
2015-07-06T00:00:00.000Z,60
2015-07-07T00:00:00.000Z,57.83
2015-07-08T00:00:00.000Z,57.75
2015-07-09T00:00:00.000Z,59.27
2015-07-10T00:00:00.000Z,59.66
2015-07-13T00:00:00.000Z,58.83
2015-07-14T00:00:00.000Z,58.82
2015-07-15T00:00:00.000Z,58.81
2015-07-16T00:00:00.000Z,58.21
2015-07-17T00:00:00.000Z,57.35
2015-07-20T00:00:00.000Z,57.44
2015-07-21T00:00:00.000Z,57.44
2015-07-22T00:00:00.000Z,56.9
2015-07-23T00:00:00.000Z,56.53
2015-07-24T00:00:00.000Z,55.6
2015-07-27T00:00:00.000Z,54.89
2015-07-28T00:00:00.000Z,54.08
2015-07-29T00:00:00.000Z,54.33
2015-07-30T00:00:00.000Z,54.38
2015-07-31T00:00:00.000Z,53.47
2015-08-03T00:00:00.000Z,52.01
2015-08-04T00:00:00.000Z,50.45
2015-08-05T00:00:00.000Z,50.99
2015-08-06T00:00:00.000Z,49.83
2015-08-07T00:00:00.000Z,50.06
2015-08-10T00:00:00.000Z,50.49
2015-08-11T00:00:00.000Z,51.1
2015-08-12T00:00:00.000Z,50.01
2015-08-13T00:00:00.000Z,50.39
2015-08-14T00:00:00.000Z,49.52
2015-08-17T00:00:00.000Z,49.44
2015-08-18T00:00:00.000Z,49.04
2015-08-19T00:00:00.000Z,49.11
2015-08-20T00:00:00.000Z,47.38
2015-08-21T00:00:00.000Z,46.51
2015-08-24T00:00:00.000Z,45.46
2015-08-25T00:00:00.000Z,44.5
2015-08-26T00:00:00.000Z,43.76
2015-08-27T00:00:00.000Z,47.75
2015-08-28T00:00:00.000Z,50.98
2015-08-31T00:00:00.000Z,54.32
2015-09-01T00:00:00.000Z,53.47
2015-09-02T00:00:00.000Z,51
2015-09-03T00:00:00.000Z,52.46
2015-09-04T00:00:00.000Z,51.05
2015-09-07T00:00:00.000Z,49.44
2015-09-08T00:00:00.000Z,49.85
2015-09-09T00:00:00.000Z,50.04
2015-09-10T00:00:00.000Z,48.95
2015-09-11T00:00:00.000Z,48.98
2015-09-14T00:00:00.000Z,48.35
2015-09-15T00:00:00.000Z,46.9
2015-09-16T00:00:00.000Z,50.34
2015-09-17T00:00:00.000Z,50.14
2015-09-18T00:00:00.000Z,49.75
2015-09-21T00:00:00.000Z,48.99
2015-09-22T00:00:00.000Z,49.21
2015-09-23T00:00:00.000Z,50.25
2015-09-24T00:00:00.000Z,48.47
2015-09-25T00:00:00.000Z,49.1
2015-09-28T00:00:00.000Z,48.44
2015-09-29T00:00:00.000Z,48.65
2015-09-30T00:00:00.000Z,49
2015-10-01T00:00:00.000Z,49.84
2015-10-02T00:00:00.000Z,48.5
2015-10-05T00:00:00.000Z,49.87
2015-10-06T00:00:00.000Z,52.26
2015-10-07T00:00:00.000Z,53.15
2015-10-08T00:00:00.000Z,53.52
2015-10-09T00:00:00.000Z,54.05
2015-10-12T00:00:00.000Z,53.31
2015-10-13T00:00:00.000Z,50.7
2015-10-14T00:00:00.000Z,49.52
2015-10-15T00:00:00.000Z,49.38
2015-10-16T00:00:00.000Z,50.7
2015-10-19T00:00:00.000Z,50.68
2015-10-20T00:00:00.000Z,49.2
2015-10-21T00:00:00.000Z,48.65
2015-10-22T00:00:00.000Z,48.73
2015-10-23T00:00:00.000Z,48.65
2015-10-26T00:00:00.000Z,48.33
2015-10-27T00:00:00.000Z,47.57
2015-10-28T00:00:00.000Z,49.23
2015-10-29T00:00:00.000Z,49.38
2015-10-30T00:00:00.000Z,50
2015-11-02T00:00:00.000Z,49.69
2015-11-03T00:00:00.000Z,50.91
2015-11-04T00:00:00.000Z,50.87
2015-11-05T00:00:00.000Z,49
2015-11-06T00:00:00.000Z,48.58
2015-11-09T00:00:00.000Z,48.41
