date,cr_low
2015-01-02T00:00:00.000Z,55.48
2015-01-05T00:00:00.000Z,52.66
2015-01-06T00:00:00.000Z,50.52
2015-01-07T00:00:00.000Z,49.66
2015-01-08T00:00:00.000Z,49.81
2015-01-09T00:00:00.000Z,48.9
2015-01-12T00:00:00.000Z,47.16
2015-01-13T00:00:00.000Z,45.19
2015-01-14T00:00:00.000Z,45.59
2015-01-15T00:00:00.000Z,47
2015-01-16T00:00:00.000Z,48.07
2015-01-19T00:00:00.000Z,48.68
2015-01-20T00:00:00.000Z,47.78
2015-01-21T00:00:00.000Z,48.21
2015-01-22T00:00:00.000Z,48.02
2015-01-23T00:00:00.000Z,48.55
2015-01-26T00:00:00.000Z,47.57
2015-01-27T00:00:00.000Z,47.67
2015-01-28T00:00:00.000Z,48.29
2015-01-29T00:00:00.000Z,48.37
2015-01-30T00:00:00.000Z,48.76
2015-02-02T00:00:00.000Z,51.41
2015-02-03T00:00:00.000Z,54.84
2015-02-04T00:00:00.000Z,53.5
2015-02-05T00:00:00.000Z,53.07
2015-02-06T00:00:00.000Z,56.71
2015-02-09T00:00:00.000Z,57.3
2015-02-10T00:00:00.000Z,56.11
2015-02-11T00:00:00.000Z,53.91
2015-02-12T00:00:00.000Z,54.72
2015-02-13T00:00:00.000Z,59.08
2015-02-16T00:00:00.000Z,60.71
2015-02-17T00:00:00.000Z,60.27
2015-02-18T00:00:00.000Z,59.25
2015-02-19T00:00:00.000Z,57.8
2015-02-20T00:00:00.000Z,59.82
2015-02-23T00:00:00.000Z,58.37
2015-02-24T00:00:00.000Z,58.1
2015-02-25T00:00:00.000Z,58.41
2015-02-26T00:00:00.000Z,59.66
2015-02-27T00:00:00.000Z,60.51
2015-03-02T00:00:00.000Z,59.34
2015-03-03T00:00:00.000Z,59.84
2015-03-04T00:00:00.000Z,59.47
2015-03-05T00:00:00.000Z,60.08
2015-03-06T00:00:00.000Z,59.17
2015-03-09T00:00:00.000Z,58.38
2015-03-10T00:00:00.000Z,56.12
2015-03-11T00:00:00.000Z,55.92
2015-03-12T00:00:00.000Z,56.51
2015-03-13T00:00:00.000Z,54.43
2015-03-16T00:00:00.000Z,52.5
2015-03-17T00:00:00.000Z,52.57
2015-03-18T00:00:00.000Z,52.68
2015-03-19T00:00:00.000Z,53.91
2015-03-20T00:00:00.000Z,53.55
2015-03-23T00:00:00.000Z,54.12
2015-03-24T00:00:00.000Z,54.85
2015-03-25T00:00:00.000Z,54.7
2015-03-26T00:00:00.000Z,56.3
2015-03-27T00:00:00.000Z,55.95
2015-03-30T00:00:00.000Z,55.2
2015-03-31T00:00:00.000Z,54.72
2015-04-01T00:00:00.000Z,54.7
2015-04-02T00:00:00.000Z,54
2015-04-06T00:00:00.000Z,55.08
2015-04-07T00:00:00.000Z,57.02
2015-04-08T00:00:00.000Z,55.45
2015-04-09T00:00:00.000Z,55.97
2015-04-10T00:00:00.000Z,56.25
2015-04-13T00:00:00.000Z,57.46
2015-04-14T00:00:00.000Z,57.76
2015-04-15T00:00:00.000Z,58.74
2015-04-16T00:00:00.000Z,62
2015-04-17T00:00:00.000Z,62.95
2015-04-20T00:00:00.000Z,62.1
2015-04-21T00:00:00.000Z,61.65
2015-04-22T00:00:00.000Z,61.39
2015-04-23T00:00:00.000Z,62.22
2015-04-24T00:00:00.000Z,64.48
2015-04-27T00:00:00.000Z,64.4
2015-04-28T00:00:00.000Z,63.9
2015-04-29T00:00:00.000Z,64.13
2015-04-30T00:00:00.000Z,65.37
2015-05-01T00:00:00.000Z,65.52
2015-05-04T00:00:00.000Z,65.95
2015-05-05T00:00:00.000Z,66.14
2015-05-06T00:00:00.000Z,67.35
2015-05-07T00:00:00.000Z,65.17
2015-05-08T00:00:00.000Z,64.23
2015-05-11T00:00:00.000Z,64.25
2015-05-12T00:00:00.000Z,64.68
2015-05-13T00:00:00.000Z,66.41
2015-05-14T00:00:00.000Z,66.25
2015-05-15T00:00:00.000Z,65.37
2015-05-18T00:00:00.000Z,65.92
2015-05-19T00:00:00.000Z,63.95
2015-05-20T00:00:00.000Z,64.1
2015-05-21T00:00:00.000Z,64.83
2015-05-22T00:00:00.000Z,65.1
2015-05-25T00:00:00.000Z,64.72
2015-05-26T00:00:00.000Z,63.29
2015-05-27T00:00:00.000Z,61.96
2015-05-28T00:00:00.000Z,61.24
2015-05-29T00:00:00.000Z,62.68
2015-06-01T00:00:00.000Z,64.25
2015-06-02T00:00:00.000Z,64.58
2015-06-03T00:00:00.000Z,63.5
2015-06-04T00:00:00.000Z,61.78
2015-06-05T00:00:00.000Z,60.94
2015-06-08T00:00:00.000Z,62.47
2015-06-09T00:00:00.000Z,62.72
2015-06-10T00:00:00.000Z,64.88
2015-06-11T00:00:00.000Z,64.5
2015-06-12T00:00:00.000Z,63.68
2015-06-15T00:00:00.000Z,62.24
2015-06-16T00:00:00.000Z,63.42
2015-06-17T00:00:00.000Z,62.6
2015-06-18T00:00:00.000Z,63.44
2015-06-19T00:00:00.000Z,62.34
2015-06-22T00:00:00.000Z,62.1
2015-06-23T00:00:00.000Z,62.76
2015-06-24T00:00:00.000Z,63.01
2015-06-25T00:00:00.000Z,62.72
2015-06-26T00:00:00.000Z,62.5
2015-06-29T00:00:00.000Z,61.35
2015-06-30T00:00:00.000Z,61.71
2015-07-01T00:00:00.000Z,61.84
2015-07-02T00:00:00.000Z,61.75
2015-07-03T00:00:00.000Z,60.12
2015-07-06T00:00:00.000Z,56.38
2015-07-07T00:00:00.000Z,55.1
2015-07-08T00:00:00.000Z,55.87
2015-07-09T00:00:00.000Z,57.01
2015-07-10T00:00:00.000Z,57.86
2015-07-13T00:00:00.000Z,56.84
2015-07-14T00:00:00.000Z,56.43
2015-07-15T00:00:00.000Z,56.86
2015-07-16T00:00:00.000Z,56.95
2015-07-17T00:00:00.000Z,56.4
2015-07-20T00:00:00.000Z,56.33
2015-07-21T00:00:00.000Z,56.33
2015-07-22T00:00:00.000Z,55.92
2015-07-23T00:00:00.000Z,55.1
