date,value
2015-01-02T00:00:00.000Z,58.02
2015-01-05T00:00:00.000Z,56.25
2015-01-06T00:00:00.000Z,53.2
2015-01-07T00:00:00.000Z,51.15
2015-01-08T00:00:00.000Z,51.06
2015-01-09T00:00:00.000Z,51.25
2015-01-12T00:00:00.000Z,49.93
2015-01-13T00:00:00.000Z,47.06
2015-01-14T00:00:00.000Z,46.84
2015-01-15T00:00:00.000Z,48.68
2015-01-16T00:00:00.000Z,48.25
2015-01-19T00:00:00.000Z,50.1
2015-01-20T00:00:00.000Z,48.91
2015-01-21T00:00:00.000Z,48.29
2015-01-22T00:00:00.000Z,48.6
2015-01-23T00:00:00.000Z,49.11
2015-01-26T00:00:00.000Z,48.56
2015-01-27T00:00:00.000Z,48.25
2015-01-28T00:00:00.000Z,49.1
2015-01-29T00:00:00.000Z,48.69
2015-01-30T00:00:00.000Z,49.15
2015-02-02T00:00:00.000Z,52.68
2015-02-03T00:00:00.000Z,55
2015-02-04T00:00:00.000Z,57.19
2015-02-05T00:00:00.000Z,54.8
2015-02-06T00:00:00.000Z,56.74
2015-02-09T00:00:00.000Z,57.93
2015-02-10T00:00:00.000Z,57.79
2015-02-11T00:00:00.000Z,56.81
2015-02-12T00:00:00.000Z,55.12
2015-02-13T00:00:00.000Z,59.27
2015-02-16T00:00:00.000Z,61.49
2015-02-17T00:00:00.000Z,61.68
2015-02-18T00:00:00.000Z,62.3
2015-02-19T00:00:00.000Z,59.54
2015-02-20T00:00:00.000Z,60.2
2015-02-23T00:00:00.000Z,60.3
2015-02-24T00:00:00.000Z,59.09
2015-02-25T00:00:00.000Z,58.75
2015-02-26T00:00:00.000Z,61.85
2015-02-27T00:00:00.000Z,60.75
2015-03-02T00:00:00.000Z,62.5
2015-03-03T00:00:00.000Z,60
2015-03-04T00:00:00.000Z,60.85
2015-03-05T00:00:00.000Z,60.6
2015-03-06T00:00:00.000Z,60.75
2015-03-09T00:00:00.000Z,59.62
2015-03-10T00:00:00.000Z,58.37
2015-03-11T00:00:00.000Z,56.45
2015-03-12T00:00:00.000Z,57.92
2015-03-13T00:00:00.000Z,57.03
2015-03-16T00:00:00.000Z,54.41
2015-03-17T00:00:00.000Z,54.1
2015-03-18T00:00:00.000Z,53.28
2015-03-19T00:00:00.000Z,56.18
2015-03-20T00:00:00.000Z,54.46
2015-03-23T00:00:00.000Z,55.24
2015-03-24T00:00:00.000Z,55.83
2015-03-25T00:00:00.000Z,55.09
2015-03-26T00:00:00.000Z,56.35
2015-03-27T00:00:00.000Z,58.97
2015-03-30T00:00:00.000Z,55.96
2015-03-31T00:00:00.000Z,56.31
2015-04-01T00:00:00.000Z,55.18
2015-04-02T00:00:00.000Z,56.72
2015-04-06T00:00:00.000Z,55.18
2015-04-07T00:00:00.000Z,57.8
2015-04-08T00:00:00.000Z,58.3
2015-04-09T00:00:00.000Z,56.1
2015-04-10T00:00:00.000Z,56.84
2015-04-13T00:00:00.000Z,58.02
2015-04-14T00:00:00.000Z,58.17
2015-04-15T00:00:00.000Z,58.74
2015-04-16T00:00:00.000Z,62.9
2015-04-17T00:00:00.000Z,64.02
2015-04-20T00:00:00.000Z,63.85
2015-04-21T00:00:00.000Z,63.52
2015-04-22T00:00:00.000Z,61.9
2015-04-23T00:00:00.000Z,62.88
2015-04-24T00:00:00.000Z,64.75
2015-04-27T00:00:00.000Z,65.47
2015-04-28T00:00:00.000Z,64.74
2015-04-29T00:00:00.000Z,64.64
2015-04-30T00:00:00.000Z,65.63
2015-05-01T00:00:00.000Z,66.78
2015-05-04T00:00:00.000Z,66.4
2015-05-05T00:00:00.000Z,66.33
2015-05-06T00:00:00.000Z,67.71
2015-05-07T00:00:00.000Z,67.37
2015-05-08T00:00:00.000Z,65.64
2015-05-11T00:00:00.000Z,65.37
2015-05-12T00:00:00.000Z,64.77
2015-05-13T00:00:00.000Z,67.32
2015-05-14T00:00:00.000Z,66.54
2015-05-15T00:00:00.000Z,66.75
2015-05-18T00:00:00.000Z,66.91
2015-05-19T00:00:00.000Z,66.19
2015-05-20T00:00:00.000Z,64.49
2015-05-21T00:00:00.000Z,64.89
2015-05-22T00:00:00.000Z,66.59
2015-05-25T00:00:00.000Z,65.56
2015-05-26T00:00:00.000Z,65.7
2015-05-27T00:00:00.000Z,63.89
2015-05-28T00:00:00.000Z,62.2
2015-05-29T00:00:00.000Z,62.89
2015-06-01T00:00:00.000Z,65.59
2015-06-02T00:00:00.000Z,64.9
2015-06-03T00:00:00.000Z,65.38
2015-06-04T00:00:00.000Z,63.81
2015-06-05T00:00:00.000Z,62.08
2015-06-08T00:00:00.000Z,63.06
2015-06-09T00:00:00.000Z,62.81
2015-06-10T00:00:00.000Z,65.04
2015-06-11T00:00:00.000Z,65.57
2015-06-12T00:00:00.000Z,64.87
2015-06-15T00:00:00.000Z,63.62
2015-06-16T00:00:00.000Z,63.8
2015-06-17T00:00:00.000Z,63.6
2015-06-18T00:00:00.000Z,63.74
2015-06-19T00:00:00.000Z,64.2
2015-06-22T00:00:00.000Z,62.57
2015-06-23T00:00:00.000Z,63.21
2015-06-24T00:00:00.000Z,64.66
2015-06-25T00:00:00.000Z,63.5
2015-06-26T00:00:00.000Z,63.34
2015-06-29T00:00:00.000Z,62.85
2015-06-30T00:00:00.000Z,61.77
2015-07-01T00:00:00.000Z,63.02
2015-07-02T00:00:00.000Z,61.92
2015-07-03T00:00:00.000Z,61.73
